Respondents,European,Canadian,Japanese,X6.19,X5.49,X4.79,Rich.full.bodied,Regular,Crisp.and.clear,Strong,Mild,Very.mild,Full,Regular.1,Low,Six.12Oz.Large,Six.12Oz.Small,Four.16Oz,Green.Label,Brown.Label,Brown.Painted,Respondents,Weekly_Consumption,Age_1_7,Income_1_7,Education_1_6,Sex_M_1_F_2,clusters,classes
4545,12,0,13,0,11,1,0,11,10,0,0,6,8,14,0,37,16,0,7,2,0,4545,7,5,3,3,1,2,2
2459,0,8,2,0,29,20,3,0,10,0,9,5,6,0,2,23,0,14,7,0,14,2459,5,6,5,3,1,2,2
3842,16,0,14,0,1,9,9,0,13,0,29,11,21,2,0,10,0,1,1,1,0,3842,12,4,4,6,1,1,1
7165,15,0,7,0,7,0,11,0,19,0,17,1,15,0,10,22,0,3,4,0,1,7165,10,6,6,3,1,1,1
1733,22,0,14,11,4,0,9,0,8,0,20,9,20,0,4,6,1,0,0,13,9,1733,24,6,7,5,1,1,1
6641,6,5,0,6,5,0,49,0,18,2,17,0,13,0,2,0,8,6,2,0,0,6641,1,6,7,6,1,1,1
4653,16,0,5,4,0,3,13,0,14,0,22,11,0,1,14,23,0,8,0,6,7,4653,36,4,6,5,1,1,1
4091,19,5,0,4,13,0,5,0,6,0,15,10,5,0,28,8,0,1,0,12,3,4091,3,4,7,6,1,1,1
2708,12,0,14,6,1,0,17,0,23,2,20,0,22,0,2,6,0,7,0,1,8,2708,2,6,7,6,2,1,1
6189,0,17,1,0,5,0,7,13,0,23,0,4,0,28,25,0,10,13,0,0,2,6189,10,3,2,5,1,2,2
3535,12,0,10,11,0,11,0,5,20,7,16,0,22,0,11,12,0,3,7,5,0,3535,16,5,5,5,1,1,1
599,19,0,4,16,6,0,21,4,0,0,3,5,11,0,6,0,17,8,0,11,0,599,24,6,7,5,1,1,1
2128,7,7,0,0,8,9,5,0,17,6,22,0,15,3,0,15,0,9,14,0,9,2128,6,4,7,6,1,1,1
903,16,0,10,0,3,0,24,0,31,0,20,20,16,0,23,1,0,0,0,3,4,903,10,5,7,6,1,1,1
4743,24,0,13,5,0,1,7,0,10,0,15,11,28,0,21,9,0,1,2,9,0,4743,3,7,6,5,1,1,1
6352,18,0,7,2,0,2,16,0,18,0,23,10,15,0,1,20,0,3,1,0,5,6352,10,5,6,5,1,1,1
6881,9,11,0,10,0,16,0,6,11,0,17,18,0,14,1,15,0,10,0,1,16,6881,6,3,2,5,1,2,2
